date,open,high,low,close,volume,dividend,ratio
2018-01-02,0.0089,0.0096,0.0086,0.0091,89424096.0,0.0,1
2018-01-03,0.0091,0.0096,0.0089,0.0093,66349900.0,0.0,1
2018-01-04,0.0093,0.01,0.0088,0.0096,108986000.0,0.0,1
2018-01-05,0.0097,0.0123,0.0096,0.0122,212383008.0,0.0,1
2018-01-08,0.0171,0.0177,0.0138,0.015,235114000.0,0.0,1
2018-01-09,0.0151,0.0156,0.013,0.0134,115255000.0,0.0,1
2018-01-10,0.0136,0.0136,0.0115,0.0131,100243000.0,0.0,1
2018-01-11,0.013,0.0132,0.011,0.0115,62722000.0,0.0,1
2018-01-12,0.0115,0.0133,0.0112,0.0131,56971300.0,0.0,1
2018-01-16,0.0099,0.0099,0.0057,0.0068,68099200.0,0.0,1
2018-01-17,0.0068,0.0077,0.0055,0.0076,58846200.0,0.0,1
2018-01-18,0.0076,0.0087,0.0072,0.008,56599300.0,0.0,1
2018-01-19,0.0079,0.0084,0.0075,0.0079,30335700.0,0.0,1
2018-01-22,0.0072,0.0076,0.0063,0.0067,19968600.0,0.0,1
2018-01-23,0.0067,0.007,0.0062,0.0067,17882700.0,0.0,1
2018-01-24,0.0066,0.0072,0.0065,0.0071,17449900.0,0.0,1
2018-01-25,0.0072,0.0078,0.0071,0.0077,21329400.0,0.0,1
2018-01-26,0.0077,0.008,0.0068,0.0072,19572300.0,0.0,1
2018-01-29,0.0074,0.0075,0.0069,0.007,13073100.0,0.0,1
2018-01-30,0.007,0.007,0.0059,0.006,15855900.0,0.0,1
2018-01-31,0.006,0.0062,0.0058,0.006,14754700.0,0.0,1
2018-02-01,0.006,0.0061,0.0048,0.005,18748700.0,0.0,1
2018-02-02,0.005,0.005,0.0033,0.0045,29913700.0,0.0,1
2018-02-05,0.0044,0.0045,0.0034,0.0035,12489400.0,0.0,1
2018-02-06,0.0035,0.0044,0.003,0.0044,19139100.0,0.0,1
2018-02-07,0.0043,0.0048,0.0039,0.0043,12990100.0,0.0,1
2018-02-08,0.0043,0.0049,0.0043,0.0046,9462680.0,0.0,1
2018-02-09,0.0046,0.005,0.0043,0.005,11190100.0,0.0,1
2018-02-12,0.005,0.0055,0.005,0.0055,11124300.0,0.0,1
2018-02-13,0.0055,0.0057,0.0053,0.0056,14149700.0,0.0,1
2018-02-14,0.0056,0.0068,0.0056,0.0067,40527400.0,0.0,1
2018-02-15,0.0067,0.0079,0.0067,0.0073,43275000.0,0.0,1
2018-02-16,0.0073,0.0075,0.0065,0.007,26553900.0,0.0,1
2018-02-20,0.0067,0.0083,0.0064,0.0071,107911000.0,0.0,1
2018-02-21,0.0071,0.0074,0.0063,0.0066,36813100.0,0.0,1
2018-02-22,0.0066,0.0069,0.0061,0.0063,20365500.0,0.0,1
2018-02-23,0.0063,0.0069,0.006,0.0066,19390500.0,0.0,1
2018-02-26,0.0062,0.0065,0.006,0.0063,12068600.0,0.0,1
2018-02-27,0.0064,0.0066,0.0063,0.0063,12201900.0,0.0,1
2018-02-28,0.0063,0.0065,0.006,0.006,13227600.0,0.0,1
2018-03-01,0.006,0.0063,0.0059,0.0062,15518400.0,0.0,1
2018-03-02,0.0062,0.0062,0.0054,0.0055,22498100.0,0.0,1
2018-03-05,0.0055,0.0055,0.0052,0.0052,13627700.0,0.0,1
2018-03-06,0.0051,0.0051,0.0046,0.0046,14766900.0,0.0,1
2018-03-07,0.0046,0.0047,0.004,0.004,17585500.0,0.0,1
